Gene ID,Gene Name,Score(d),Numerator(r),Denominator(s+s0),FoldChange,q-value(%),PEP,Log10FoldChange,AbsLog10FoldChange
COPB2,COPB2,1913,6.057,6032,995.853,1.766,0,FALSE,0.24699069924155,0.24699069924155
IQGAP3,IQGAP3,4224,6.054,6029,995.853,15.186,0,FALSE,1.1814433955419,1.1814433955419
HMMR,HMMR,3916,6.05,6025,995.853,10.765,0,TRUE,1.03201403415951,1.03201403415951
ASPM,ASPM,673,6.044,6019,995.853,14.509,0,FALSE,1.16163748070459,1.16163748070459
EIF2AK1,EIF2AK1,2687,6.044,6019,995.853,1.768,0,FALSE,0.247482260677054,0.247482260677054
PBK,PBK,6132,6.042,6017,995.853,11.968,0,FALSE,1.07802158052039,1.07802158052039
FOXM1,FOXM1,3290,6.027,6002,995.853,10.397,0,FALSE,1.01690804397207,1.01690804397207
NCAPG,NCAPG,5557,6.026,6001,995.853,7.829,0,TRUE,0.893706293064713,0.893706293064713
TOP2A,TOP2A,9294,6.011,5986,995.853,13.835,0,TRUE,1.14097916347697,1.14097916347697
DPP3,DPP3,2502,6.01,5985,995.853,2.655,0,FALSE,0.424064525417488,0.424064525417488
SPAG5,SPAG5,8417,6.01,5985,995.853,5.949,0,FALSE,0.774443968924965,0.774443968924965
ALDH18A1,ALDH18A1,314,6.001,5976,995.853,1.943,0,TRUE,0.288472800599783,0.288472800599783
PLK1,PLK1,6535,6,5975,995.853,10.24,0,FALSE,1.01029995663981,1.01029995663981
SMC4,SMC4,8272,5.999,5974,995.853,2.72,0,FALSE,0.434568904034199,0.434568904034199
KIF14,KIF14,4467,5.995,5970,995.853,13.282,0,TRUE,1.12326347590283,1.12326347590283
CDC25C,CDC25C,1512,5.993,5968,995.853,13.208,0,FALSE,1.12083706025474,1.12083706025474
CTHRC1,CTHRC1,2076,5.989,5964,995.853,6.728,0,FALSE,0.827885982789856,0.827885982789856
EXO1,EXO1,2904,5.989,5964,995.853,12.361,0,TRUE,1.09205360642548,1.09205360642548
POC1A,POC1A,6593,5.985,5960,995.853,3.672,0,FALSE,0.564902672529205,0.564902672529205
TROAP,TROAP,9435,5.983,5958,995.853,11.522,0,FALSE,1.06152787089051,1.06152787089051
DEPDC1,DEPDC1,2318,5.982,5957,995.853,9.519,0,TRUE,0.978591326820075,0.978591326820075
ATP6AP1,ATP6AP1,750,5.979,5954,995.853,2.081,0,FALSE,0.318272080211627,0.318272080211627
SKA1,SKA1,7983,5.979,5954,995.853,8.031,0,FALSE,0.904769625906595,0.904769625906595
GARS,GARS,3411,5.971,5946,995.853,1.776,0,FALSE,0.249442961442582,0.249442961442582
KIF18B,KIF18B,4471,5.971,5946,995.853,11.135,0,FALSE,1.04669022137006,1.04669022137006
MKI67,MKI67,5192,5.964,5939,995.853,10.046,0,TRUE,1.00199317382353,1.00199317382353
WDR62,WDR62,9927,5.958,5933,995.853,7.539,0,TRUE,0.877313743312238,0.877313743312238
TMEM206,TMEM206,9148,5.957,5932,995.853,2.377,0,FALSE,0.37602918172818,0.37602918172818
COPA,COPA,1911,5.953,5928,995.853,1.826,0,FALSE,0.26150077319828,0.26150077319828
C1QTNF6,C1QTNF6,1094,5.952,5927,995.853,4.309,0,FALSE,0.634376494088368,0.634376494088368
CDC20,CDC20,1508,5.95,5925,995.853,9.858,0,FALSE,0.993788813818705,0.993788813818705
PCNA,PCNA,6170,5.949,5924,995.853,2.259,0,FALSE,0.353916230920363,0.353916230920363
CENPE,CENPE,1602,5.948,5923,995.853,6.362,0,TRUE,0.803593664771345,0.803593664771345
ECT2,ECT2,2620,5.943,5918,995.853,3.52,0,FALSE,0.546542663478131,0.546542663478131
NVL,NVL,5938,5.933,5908,995.853,2.21,0,FALSE,0.344392273685111,0.344392273685111
FAM83D,FAM83D,3058,5.932,5907,995.853,9.943,0,FALSE,0.997517439414725,0.997517439414725
RACGAP1,RACGAP1,7094,5.932,5907,995.853,3.364,0,FALSE,0.526855987125875,0.526855987125875
BGN,BGN,919,5.931,5906,995.853,5.248,0,TRUE,0.719993826367604,0.719993826367604
KIF26B,KIF26B,4482,5.931,5906,995.853,8.942,0,FALSE,0.951434665532013,0.951434665532013
PPP4C,PPP4C,6745,5.923,5898,995.853,2.126,0,FALSE,0.327563260187278,0.327563260187278
DAP3,DAP3,2195,5.92,5895,995.853,1.715,0,FALSE,0.234264124378789,0.234264124378789
PRC1,PRC1,6760,5.915,5890,995.853,5.236,0,TRUE,0.718999637878718,0.718999637878718
CILP2,CILP2,1726,5.913,5888,995.853,8.015,0,TRUE,0.903903526690164,0.903903526690164
PYCR1,PYCR1,7007,5.907,5883,995.853,5.039,0,FALSE,0.702344358355769,0.702344358355769
CDCA3,CDCA3,1535,5.901,5877,995.853,6.351,0,FALSE,0.802842112739074,0.802842112739074
CDCA5,CDCA5,1537,5.9,5876,995.853,6.774,0,TRUE,0.830845192308612,0.830845192308612
FANCI,FANCI,3077,5.899,5875,995.853,3.577,0,FALSE,0.55351894014897,0.55351894014897
GINS1,GINS1,3492,5.896,5872,995.853,4.811,0,FALSE,0.682235356902564,0.682235356902564
CCNA2,CCNA2,1403,5.892,5868,995.853,6.56,0,FALSE,0.81690383937566,0.81690383937566
NUAK2,NUAK2,5881,5.891,5867,995.853,3.974,0,FALSE,0.599227862773796,0.599227862773796
