Gene ID,Gene Name,Score(d),Numerator(r),Denominator(s+s0),FoldChange,q-value(%),PEP,Log10FoldChange,AbsLog10FoldChange
FUS,FUS,3336,3.828,3812,995.853,1.515,0,FALSE,0.180412632838324,0.180412632838324
IGSF3,IGSF3,4094,3.828,3812,995.853,2.122,0,FALSE,0.326745379565322,0.326745379565322
PBX1,PBX1,6135,3.828,3812,995.853,1.612,0,FALSE,0.207365037469072,0.207365037469072
RNF4,RNF4,7453,3.826,3810,995.853,1.244,0,FALSE,0.0948203803547999,0.0948203803547999
LIG1,LIG1,4674,3.825,3809,995.853,1.916,0,TRUE,0.282395504742526,0.282395504742526
NAPA,NAPA,5531,3.825,3809,995.853,1.352,0,FALSE,0.130976691605617,0.130976691605617
TMEM63C,TMEM63C,9190,3.825,3809,995.853,3.811,0,FALSE,0.581038948772167,0.581038948772167
COPS5,COPS5,1919,3.823,3807,995.853,1.355,0,FALSE,0.131939295210425,0.131939295210425
ERBB3,ERBB3,2835,3.823,3807,995.853,2.938,0,FALSE,0.468051791454238,0.468051791454238
TANC2,TANC2,8775,3.823,3807,995.853,1.851,0,TRUE,0.267406418752904,0.267406418752904
TRAFD1,TRAFD1,9357,3.82,3804,995.853,1.421,0,FALSE,0.15259407792747,0.15259407792747
BLZF1,BLZF1,945,3.817,3801,995.853,1.367,0,FALSE,0.135768514567822,0.135768514567822
CHTF18,CHTF18,1717,3.817,3801,995.853,2.233,0,FALSE,0.348888723071438,0.348888723071438
AHCY,AHCY,268,3.816,3800,995.853,1.569,0,FALSE,0.195622943586937,0.195622943586937
RBM47,RBM47,7214,3.816,3800,995.853,1.819,0,FALSE,0.259832699063484,0.259832699063484
EFNA4,EFNA4,2652,3.814,3798,995.853,2.137,0,FALSE,0.329804522164069,0.329804522164069
ST3GAL4,ST3GAL4,8552,3.814,3798,995.853,1.698,0,TRUE,0.229937685907934,0.229937685907934
ZNF296,ZNF296,10255,3.814,3798,995.853,2.809,0,FALSE,0.448551739201578,0.448551739201578
SUV39H2,SUV39H2,8690,3.813,3797,995.853,1.545,0,FALSE,0.188928483760853,0.188928483760853
ALKBH6,ALKBH6,344,3.812,3796,995.853,1.478,0,FALSE,0.169674434058807,0.169674434058807
AP1S3,AP1S3,467,3.811,3795,995.853,2.265,0,FALSE,0.355068206348851,0.355068206348851
CLIC1,CLIC1,1774,3.811,3795,995.853,1.381,0,FALSE,0.140193678578631,0.140193678578631
NCAPD2,NCAPD2,5554,3.811,3795,995.853,1.541,0,FALSE,0.187802638718419,0.187802638718419
ABCF3,ABCF3,45,3.808,3792,995.853,1.322,0,FALSE,0.121231455149621,0.121231455149621
C1orf35,C1orf35,1113,3.805,3789,995.853,1.651,0,FALSE,0.217747073262794,0.217747073262794
GATAD2A,GATAD2A,3421,3.803,3787,995.853,1.307,0,FALSE,0.116275587580544,0.116275587580544
RFC5,RFC5,7290,3.803,3787,995.853,1.467,0,FALSE,0.166430113843283,0.166430113843283
FAM91A1,FAM91A1,3066,3.8,3784,995.853,1.639,0,TRUE,0.214578953570499,0.214578953570499
LRFN1,LRFN1,4757,3.8,3784,995.853,1.891,0,FALSE,0.27669152884504,0.27669152884504
NOLC1,NOLC1,5771,3.8,3784,995.853,1.461,0,FALSE,0.164650215934297,0.164650215934297
NOD2,NOD2,5763,3.798,3782,995.853,2.473,0,FALSE,0.393224116361297,0.393224116361297
P4HA2,P4HA2,6044,3.798,3782,995.853,1.602,0,FALSE,0.204662511748219,0.204662511748219
GRPEL2,GRPEL2,3706,3.797,3781,995.853,1.353,0,FALSE,0.131297796597623,0.131297796597623
MST1R,MST1R,5379,3.796,3780,995.853,2.231,0,FALSE,0.348499570283838,0.348499570283838
SPNS1,SPNS1,8456,3.796,3780,995.853,1.428,0,FALSE,0.154728207440156,0.154728207440156
ATP8B1,ATP8B1,771,3.794,3778,995.853,1.782,0,FALSE,0.250907699700856,0.250907699700856
DYNLL1,DYNLL1,2581,3.794,3778,995.853,1.374,0,FALSE,0.137986732723532,0.137986732723532
MTA3,MTA3,5386,3.793,3777,995.853,1.344,0,FALSE,0.128399268717806,0.128399268717806
HMGB2,HMGB2,3905,3.792,3776,995.853,1.644,0,FALSE,0.215901813204032,0.215901813204032
PDF,PDF,6220,3.792,3776,995.853,1.582,0,FALSE,0.199206479161658,0.199206479161658
C3orf52,C3orf52,1139,3.791,3775,995.853,2.733,0,FALSE,0.436639631692661,0.436639631692661
GOT2,GOT2,3613,3.791,3775,995.853,1.557,0,FALSE,0.19228861256812,0.19228861256812
PQLC2,PQLC2,6757,3.791,3775,995.853,1.412,0,FALSE,0.149834696715785,0.149834696715785
TMEM104,TMEM104,9070,3.79,3774,995.853,1.439,0,FALSE,0.158060793936605,0.158060793936605
MPHOSPH9,MPHOSPH9,5271,3.788,3772,995.853,1.697,0,TRUE,0.229681842317676,0.229681842317676
COMTD1,COMTD1,1909,3.787,3771,995.853,2.062,0,FALSE,0.314288660947498,0.314288660947498
MAPK9,MAPK9,4966,3.787,3771,995.853,1.296,0,FALSE,0.112605001534575,0.112605001534575
SEC31A,SEC31A,7769,3.787,3771,995.853,1.306,0,FALSE,0.115943176939055,0.115943176939055
PNKD,PNKD,6577,3.786,3770,995.853,1.598,0,FALSE,0.203576774977973,0.203576774977973
ARF6,ARF6,528,3.785,3769,995.853,1.325,0,FALSE,0.122215878272827,0.122215878272827
CELSR1,CELSR1,1599,3.785,3769,995.853,2.925,0,FALSE,0.466125870418199,0.466125870418199
IARS2,IARS2,4033,3.785,3769,995.853,1.448,0,FALSE,0.160768561861128,0.160768561861128
PDE6D,PDE6D,6213,3.785,3769,995.853,1.261,0,FALSE,0.100715086573082,0.100715086573082
SHARPIN,SHARPIN,7938,3.784,3768,995.853,1.558,0,FALSE,0.192567453336546,0.192567453336546
POLE3,POLE3,6612,3.783,3767,995.853,1.319,0,FALSE,0.120244795546365,0.120244795546365
TP53I11,TP53I11,9310,3.783,3767,995.853,1.537,0,FALSE,0.186673867499745,0.186673867499745
F2RL2,F2RL2,2941,3.781,3765,995.853,4.218,0,FALSE,0.625106575403468,0.625106575403468
NR2C2AP,NR2C2AP,5827,3.781,3765,995.853,1.582,0,FALSE,0.199206479161658,0.199206479161658
ZMYND10,ZMYND10,10200,3.781,3765,995.853,4.044,0,FALSE,0.606811146918963,0.606811146918963
LMLN,LMLN,4712,3.78,3764,995.853,1.514,0,FALSE,0.180125875164054,0.180125875164054
SDSL,SDSL,7752,3.78,3764,995.853,1.908,0,FALSE,0.280578370368076,0.280578370368076
GNAI3,GNAI3,3565,3.777,3761,995.853,1.287,0,FALSE,0.109578546904387,0.109578546904387
RHOD,RHOD,7342,3.774,3758,995.853,1.728,0,FALSE,0.237543738142874,0.237543738142874
CBLC,CBLC,1297,3.772,3756,995.853,2.733,0,FALSE,0.436639631692661,0.436639631692661
NCOA6,NCOA6,5582,3.772,3756,995.853,1.29,0,FALSE,0.110589710299249,0.110589710299249
SH3BP5L,SH3BP5L,7919,3.771,3755,995.853,1.438,0,FALSE,0.157758886046864,0.157758886046864
GNPAT,GNPAT,3589,3.769,3753,995.853,1.346,0,FALSE,0.129045059887958,0.129045059887958
LRRC42,LRRC42,4790,3.769,3753,995.853,1.373,0,TRUE,0.137670537236755,0.137670537236755
ARHGEF16,ARHGEF16,570,3.768,3752,995.853,1.856,0,FALSE,0.268577971882843,0.268577971882843
DCAF10,DCAF10,2214,3.767,3751,995.853,1.744,0,FALSE,0.241546480596548,0.241546480596548
LRRC45,LRRC45,4791,3.767,3751,995.853,1.937,0,FALSE,0.287129620719111,0.287129620719111
HOPX,HOPX,3940,3.765,3749,995.853,2.025,0,FALSE,0.306425027550687,0.306425027550687
SMPD2,SMPD2,8285,3.761,3745,995.853,1.6,0,FALSE,0.204119982655925,0.204119982655925
DNAJC10,DNAJC10,2434,3.76,3744,995.853,1.415,0,FALSE,0.150756439860309,0.150756439860309
ETV7,ETV7,2893,3.76,3744,995.853,2.636,0,FALSE,0.420945405921972,0.420945405921972
SLC6A9,SLC6A9,8209,3.76,3744,995.853,2.365,0,FALSE,0.37383114507383,0.37383114507383
UNC93B1,UNC93B1,9710,3.76,3744,995.853,1.632,0,FALSE,0.212720154417842,0.212720154417842
STRA6,STRA6,8626,3.759,3743,995.853,3.417,0,FALSE,0.533644978798763,0.533644978798763
PRLR,PRLR,6815,3.757,3741,995.853,2.998,0,TRUE,0.476831628512261,0.476831628512261
RPS6KB2,RPS6KB2,7542,3.757,3741,995.853,1.654,0,FALSE,0.218535505216528,0.218535505216528
ERGIC2,ERGIC2,2848,3.756,3740,995.853,1.363,0,FALSE,0.134495855834674,0.134495855834674
EDEM2,EDEM2,2626,3.754,3738,995.853,1.342,0,FALSE,0.127752515832973,0.127752515832973
ILDR1,ILDR1,4150,3.754,3738,995.853,2.848,0,FALSE,0.454539984964819,0.454539984964819
MRPL15,MRPL15,5299,3.754,3738,995.853,1.495,0,FALSE,0.174641192660448,0.174641192660448
TBL1XR1,TBL1XR1,8829,3.754,3738,995.853,1.442,0,TRUE,0.15896526038341,0.15896526038341
OCLN,OCLN,5957,3.753,3737,995.853,2.32,0,FALSE,0.3654879848909,0.3654879848909
CRABP2,CRABP2,1986,3.751,3735,995.853,2.973,0,FALSE,0.473194909204938,0.473194909204938
PSEN2,PSEN2,6871,3.751,3735,995.853,1.499,0,FALSE,0.175801632848279,0.175801632848279
EIF4G1,EIF4G1,2718,3.75,3734,995.853,1.363,0,FALSE,0.134495855834674,0.134495855834674
ERAL1,ERAL1,2831,3.749,3733,995.853,1.369,0,FALSE,0.13640344813399,0.13640344813399
TACO1,TACO1,8745,3.747,3731,995.853,1.418,0,FALSE,0.151676230847048,0.151676230847048
TWF1,TWF1,9566,3.743,3727,995.853,1.383,0,FALSE,0.140822180109311,0.140822180109311
AP2M1,AP2M1,471,3.74,3724,995.853,1.313,0,FALSE,0.118264726089479,0.118264726089479
SERPINA9,SERPINA9,7836,3.739,3723,995.853,2.717,0,TRUE,0.434089638417891,0.434089638417891
DEPDC7,DEPDC7,2320,3.738,3722.5,995.853,2.049,0,FALSE,0.311541958401195,0.311541958401195
SOX4,SOX4,8404,3.738,3722,995.853,1.832,0,FALSE,0.262925469331832,0.262925469331832
GRHL2,GRHL2,3691,3.736,3721,995.853,3.104,0,FALSE,0.491921712586151,0.491921712586151
NDUFB3,NDUFB3,5619,3.736,3721,995.853,1.333,0,FALSE,0.124830149413859,0.124830149413859
PTS,PTS,6985,3.736,3721,995.853,1.48,0,FALSE,0.170261715394957,0.170261715394957
CHST15,CHST15,1711,3.734,3719,995.853,1.555,0,FALSE,0.191730393362856,0.191730393362856
MOGS,MOGS,5249,3.734,3719,995.853,1.377,0,FALSE,0.138933940256924,0.138933940256924
EIF2AK2,EIF2AK2,2688,3.733,3718,995.853,1.652,0,FALSE,0.218010042984363,0.218010042984363
TOR1B,TOR1B,9303,3.733,3718,995.853,1.274,0,FALSE,0.105169427999332,0.105169427999332
GTF3C2,GTF3C2,3736,3.731,3716,995.853,1.309,0,FALSE,0.116939646550756,0.116939646550756
ISOC2,ISOC2,4261,3.731,3716,995.853,1.571,0,FALSE,0.196176185039973,0.196176185039973
NOP2,NOP2,5777,3.73,3715,995.853,1.539,0,FALSE,0.187238619831479,0.187238619831479
RHBDD3,RHBDD3,7328,3.729,3714,995.853,1.632,0,FALSE,0.212720154417842,0.212720154417842
PRSS22,PRSS22,6857,3.727,3712,995.853,3.147,0,FALSE,0.49789674291322,0.49789674291322
NCDN,NCDN,5563,3.726,3711,995.853,1.673,0,FALSE,0.223495940962395,0.223495940962395
XRCC5,XRCC5,10016,3.725,3710,995.853,1.247,0,FALSE,0.0958664534785427,0.0958664534785427
FAM103A1,FAM103A1,2962,3.723,3708,995.853,1.346,0,FALSE,0.129045059887958,0.129045059887958
HPS3,HPS3,3958,3.723,3708,995.853,1.377,0,FALSE,0.138933940256924,0.138933940256924
PKP3,PKP3,6468,3.722,3707,995.853,2.608,0,FALSE,0.416307587059883,0.416307587059883
PTGES3,PTGES3,6933,3.722,3707,995.853,1.298,0,FALSE,0.11327469246435,0.11327469246435
MOV10,MOV10,5263,3.719,3704,995.853,1.446,0,FALSE,0.160168292958512,0.160168292958512
ARMC10,ARMC10,610,3.718,3703,995.853,1.26,0,FALSE,0.100370545117563,0.100370545117563
MYO1D,MYO1D,5481,3.717,3702,995.853,1.501,0,FALSE,0.17638069224327,0.17638069224327
NUP37,NUP37,5924,3.717,3702,995.853,1.299,0,FALSE,0.113609151073028,0.113609151073028
PDIA6,PDIA6,6235,3.717,3702,995.853,1.419,0,FALSE,0.151982395457474,0.151982395457474
SAP130,SAP130,7650,3.717,3702,995.853,1.202,0,FALSE,0.0799044676667207,0.0799044676667207
ARPC1B,ARPC1B,628,3.716,3701,995.853,1.76,0,FALSE,0.24551266781415,0.24551266781415
CYC1,CYC1,2150,3.715,3700,995.853,1.517,0,FALSE,0.18098558078673,0.18098558078673
TMEM106C,TMEM106C,9073,3.712,3697,995.853,1.546,0,FALSE,0.189209489582306,0.189209489582306
VPS52,VPS52,9856,3.712,3697,995.853,1.261,0,FALSE,0.100715086573082,0.100715086573082
ACOT8,ACOT8,113,3.71,3695,995.853,1.398,0,FALSE,0.145507171409663,0.145507171409663
NECAB3,NECAB3,5636,3.71,3695,995.853,1.742,0,TRUE,0.241048150671644,0.241048150671644
B3GALNT2,B3GALNT2,811,3.709,3694,995.853,1.4,0,FALSE,0.146128035678238,0.146128035678238
OAS1,OAS1,5945,3.709,3694,995.853,2.174,0,FALSE,0.337259539750276,0.337259539750276
XPOT,XPOT,10010,3.709,3694,995.853,1.497,0,TRUE,0.175221800343052,0.175221800343052
C11orf84,C11orf84,1039,3.708,3693,995.853,1.549,0,FALSE,0.190051417759206,0.190051417759206
DDOST,DDOST,2261,3.707,3692,995.853,1.352,0,FALSE,0.130976691605617,0.130976691605617
FXYD3,FXYD3,3346,3.707,3692,995.853,3.367,0,FALSE,0.527243116388089,0.527243116388089
EFNA1,EFNA1,2651,3.706,3691,995.853,1.803,0,FALSE,0.255995726722402,0.255995726722402
GCH1,GCH1,3437,3.705,3690,995.853,1.653,0,FALSE,0.218272853571447,0.218272853571447
SASS6,SASS6,7664,3.701,3686,995.853,1.585,0,FALSE,0.20002926655377,0.20002926655377
UQCRQ,UQCRQ,9724,3.7,3685,995.853,1.577,0,FALSE,0.197831693328903,0.197831693328903
CNOT3,CNOT3,1837,3.699,3684,995.853,1.327,0,FALSE,0.122870922864436,0.122870922864436
FBXO46,FBXO46,3143,3.699,3684,995.853,1.503,0,FALSE,0.176958980586908,0.176958980586908
MTBP,MTBP,5387,3.699,3684,995.853,2.011,0,FALSE,0.303412070596742,0.303412070596742
SEC23IP,SEC23IP,7764,3.699,3684,995.853,1.359,0,FALSE,0.133219456732494,0.133219456732494
PAK2,PAK2,6073,3.698,3683,995.853,1.362,0,FALSE,0.134177107576766,0.134177107576766
RND1,RND1,7395,3.698,3683,995.853,2.606,0,FALSE,0.415974411376566,0.415974411376566
COG7,COG7,1864,3.697,3682,995.853,1.381,0,FALSE,0.140193678578631,0.140193678578631
WDR55,WDR55,9921,3.697,3682,995.853,1.263,0,FALSE,0.101403350555331,0.101403350555331
CDK2,CDK2,1563,3.692,3677,995.853,1.515,0,FALSE,0.180412632838324,0.180412632838324
IMMT,IMMT,4157,3.692,3677,995.853,1.233,0,FALSE,0.0909630765957317,0.0909630765957317
LRRCC1,LRRCC1,4806,3.692,3677,995.853,1.607,0,FALSE,0.206015876763345,0.206015876763345
ZNF768,ZNF768,10406,3.692,3677,995.853,1.432,0,FALSE,0.155943017971837,0.155943017971837
BAIAP2L1,BAIAP2L1,844,3.69,3675,995.853,1.843,0,FALSE,0.265525335219074,0.265525335219074
NOTUM,NOTUM,5789,3.69,3675,995.853,2.527,0,FALSE,0.402605241919915,0.402605241919915
UMPS,UMPS,9700,3.689,3674,995.853,1.295,0,FALSE,0.112269768417271,0.112269768417271
HNRNPR,HNRNPR,3930,3.684,3669,995.853,1.248,0,FALSE,0.0962145853464052,0.0962145853464052
PTTG1IP,PTTG1IP,6986,3.684,3669,995.853,1.344,0,FALSE,0.128399268717806,0.128399268717806
GIPC1,GIPC1,3496,3.682,3667,995.853,1.623,0,FALSE,0.210318519826232,0.210318519826232
RFC3,RFC3,7288,3.682,3667,995.853,1.605,0,FALSE,0.205475036740891,0.205475036740891
PPIH,PPIH,6683,3.681,3666,995.853,1.407,0,FALSE,0.148294097434746,0.148294097434746
RAB3IP,RAB3IP,7071,3.681,3666,995.853,1.833,0,FALSE,0.263162464962217,0.263162464962217
RRP12,RRP12,7564,3.681,3666,995.853,1.561,0,FALSE,0.193402903062417,0.193402903062417
KRTCAP2,KRTCAP2,4577,3.68,3665,995.853,1.575,0,FALSE,0.197280558125619,0.197280558125619
POP4,POP4,6650,3.678,3663,995.853,1.279,0,FALSE,0.106870544478654,0.106870544478654
NME3,NME3,5747,3.677,3662,995.853,1.718,0,FALSE,0.235023159495223,0.235023159495223
C1orf27,C1orf27,1112,3.676,3661,995.853,1.413,0,FALSE,0.150142161848559,0.150142161848559
TRMT12,TRMT12,9425,3.673,3658,995.853,1.424,0,FALSE,0.153509989300838,0.153509989300838
IPO13,IPO13,4210,3.672,3657,995.853,1.252,0,FALSE,0.0976043288744109,0.0976043288744109
TXNL4A,TXNL4A,9581,3.671,3656,995.853,1.41,0,FALSE,0.14921911265538,0.14921911265538
MED20,MED20,5081,3.669,3654,995.853,1.284,0,FALSE,0.108565023732834,0.108565023732834
WNT7B,WNT7B,9977,3.667,3652,995.853,3.845,0,FALSE,0.58489634413745,0.58489634413745
WDR12,WDR12,9896,3.666,3651,995.853,1.35,0,FALSE,0.130333768495006,0.130333768495006
IGSF8,IGSF8,4097,3.665,3650,995.853,1.694,0,FALSE,0.228913405994688,0.228913405994688
RELL2,RELL2,7268,3.663,3648,995.853,2.413,0,FALSE,0.382557321908786,0.382557321908786
PDSS1,PDSS1,6255,3.662,3647,995.853,1.629,0,FALSE,0.211921084308509,0.211921084308509
ABCG1,ABCG1,46,3.659,3644,995.853,1.598,0,FALSE,0.203576774977973,0.203576774977973
YIPF3,YIPF3,10038,3.659,3644,995.853,1.316,0,FALSE,0.119255889277937,0.119255889277937
TRPS1,TRPS1,9444,3.653,3638,995.853,2.237,0,TRUE,0.34966598409663,0.34966598409663
DHCR24,DHCR24,2342,3.652,3637,995.853,1.769,0,FALSE,0.247727832909723,0.247727832909723
RNF181,RNF181,7429,3.65,3635,995.853,1.385,0,FALSE,0.141449773400467,0.141449773400467
DNAJC2,DNAJC2,2446,3.647,3632,995.853,1.346,0,FALSE,0.129045059887958,0.129045059887958
PAXIP1,PAXIP1,6131,3.647,3632,995.853,1.465,0,FALSE,0.165837624690128,0.165837624690128
PDIK1L,PDIK1L,6236,3.647,3632,995.853,1.573,0,FALSE,0.196728722623287,0.196728722623287
VARS2,VARS2,9797,3.645,3630,995.853,1.458,0,FALSE,0.163757523981956,0.163757523981956
PPM1J,PPM1J,6698,3.643,3628,995.853,2.926,0,FALSE,0.466274321789292,0.466274321789292
DCAF12,DCAF12,2215,3.64,3625,995.853,1.281,0,FALSE,0.107549129744686,0.107549129744686
ELL3,ELL3,2735,3.639,3624,995.853,1.741,0,FALSE,0.240798771117331,0.240798771117331
FUBP1,FUBP1,3328,3.639,3624,995.853,1.29,0,FALSE,0.110589710299249,0.110589710299249
SPDEF,SPDEF,8437,3.638,3623,995.853,3.427,0,TRUE,0.534914104429867,0.534914104429867
MRPL55,MRPL55,5332,3.637,3622,995.853,1.559,0,FALSE,0.192846115188842,0.192846115188842
RPS6KC1,RPS6KC1,7543,3.637,3622,995.853,1.355,0,FALSE,0.131939295210425,0.131939295210425
WDR54,WDR54,9920,3.635,3620,995.853,1.708,0,FALSE,0.232487866352986,0.232487866352986
RANBP9,RANBP9,7127,3.634,3619,995.853,1.35,0,FALSE,0.130333768495006,0.130333768495006
YIPF1,YIPF1,10036,3.633,3618,995.853,1.456,0,FALSE,0.163161374977018,0.163161374977018
SPINT1,SPINT1,8452,3.632,3617,995.853,2.645,0,FALSE,0.422425676371205,0.422425676371205
CHST1,CHST1,1712,3.631,3616,995.853,2.883,0,TRUE,0.459844642388208,0.459844642388208
LRRC56,LRRC56,4796,3.631,3616,995.853,2.608,0,FALSE,0.416307587059883,0.416307587059883
TET3,TET3,8898,3.631,3616,995.853,1.703,0,TRUE,0.231214647962601,0.231214647962601
JARID2,JARID2,4324,3.627,3612,995.853,1.442,0,TRUE,0.15896526038341,0.15896526038341
TIMP1,TIMP1,9000,3.625,3610,995.853,1.84,0,FALSE,0.264817823009536,0.264817823009536
ANAPC11,ANAPC11,376,3.621,3606,995.853,1.589,0,FALSE,0.20112389720738,0.20112389720738
TAF2,TAF2,8758,3.621,3606,995.853,1.597,0,TRUE,0.203304916138483,0.203304916138483
CAP1,CAP1,1244,3.616,3601,995.853,1.288,0,FALSE,0.109915863023793,0.109915863023793
THBS2,THBS2,8950,3.612,3597,995.853,2.367,0,FALSE,0.374198257929083,0.374198257929083
METTL6,METTL6,5123,3.61,3595,995.853,1.303,0,FALSE,0.114944415712585,0.114944415712585
GPR137B,GPR137B,3644,3.608,3593,995.853,1.659,0,FALSE,0.219846386024361,0.219846386024361
MAGED2,MAGED2,4884,3.607,3592,995.853,1.98,0,FALSE,0.296665190261531,0.296665190261531
NIT2,NIT2,5729,3.607,3592,995.853,1.295,0,FALSE,0.112269768417271,0.112269768417271
RALY,RALY,7119,3.606,3591,995.853,1.342,0,FALSE,0.127752515832973,0.127752515832973
CXCR4,CXCR4,2130,3.605,3590,995.853,1.972,0,FALSE,0.294906910605192,0.294906910605192
SPAG4,SPAG4,8416,3.605,3590,995.853,2.337,0,FALSE,0.368658712392227,0.368658712392227
MGAT2,MGAT2,5154,3.603,3588,995.853,1.259,0,FALSE,0.100025730107863,0.100025730107863
ELMOD2,ELMOD2,2739,3.6,3585,995.853,1.423,0,FALSE,0.153204900084284,0.153204900084284
MAST2,MAST2,4992,3.599,3584,995.853,1.354,0,FALSE,0.131618664349126,0.131618664349126
RABEP2,RABEP2,7084,3.599,3584,995.853,1.763,0,FALSE,0.246252312299322,0.246252312299322
FBRS,FBRS,3111,3.597,3582,995.853,1.416,0,FALSE,0.15106325335375,0.15106325335375
ZC3H15,ZC3H15,10101,3.597,3582,995.853,1.226,0,FALSE,0.0884904701823962,0.0884904701823962
CHFR,CHFR,1678,3.592,3577,995.853,1.316,0,FALSE,0.119255889277937,0.119255889277937
THY1,THY1,8974,3.592,3577,995.853,2.068,0,FALSE,0.315550534421905,0.315550534421905
TMEM184A,TMEM184A,9132,3.592,3577,995.853,2.74,0,FALSE,0.437750562820388,0.437750562820388
DPAGT1,DPAGT1,2493,3.591,3576,995.853,1.361,0,FALSE,0.133858125203335,0.133858125203335
TAP1,TAP1,8780,3.591,3576,995.853,1.91,0,FALSE,0.281033367247728,0.281033367247728
ZNF623,ZNF623,10367,3.589,3574,995.853,1.619,0,FALSE,0.209246848753374,0.209246848753374
EIF5B,EIF5B,2723,3.588,3573,995.853,1.266,0,FALSE,0.102433705681336,0.102433705681336
AEBP1,AEBP1,231,3.587,3572,995.853,2.12,0,FALSE,0.326335860928751,0.326335860928751
FASTKD3,FASTKD3,3091,3.586,3571,995.853,1.385,0,FALSE,0.141449773400467,0.141449773400467
NOP56,NOP56,5778,3.586,3571,995.853,1.363,0,FALSE,0.134495855834674,0.134495855834674
DERL1,DERL1,2322,3.584,3569,995.853,1.382,0,FALSE,0.14050804303818,0.14050804303818
CMC1,CMC1,1811,3.582,3567,995.853,1.323,0,FALSE,0.121559844187501,0.121559844187501
IDE,IDE,4045,3.581,3566,995.853,1.47,0,TRUE,0.167317334748176,0.167317334748176
POLB,POLB,6606,3.579,3564,995.853,1.585,0,FALSE,0.20002926655377,0.20002926655377
AVL9,AVL9,800,3.574,3559,995.853,1.525,0,TRUE,0.183269843682805,0.183269843682805
TFRC,TFRC,8921,3.574,3559,995.853,1.936,0,TRUE,0.286905352972375,0.286905352972375
TRUB2,TRUB2,9451,3.574,3559,995.853,1.345,0,FALSE,0.128722284338427,0.128722284338427
NARS,NARS,5538,3.573,3558,995.853,1.245,0,FALSE,0.0951693514317552,0.0951693514317552
PIGO,PIGO,6400,3.573,3558,995.853,1.431,0,FALSE,0.155639633759776,0.155639633759776
PRR7,PRR7,6851,3.572,3557,995.853,2.445,0,FALSE,0.388278863459639,0.388278863459639
PFDN2,PFDN2,6303,3.569,3554,995.853,1.629,0,FALSE,0.211921084308509,0.211921084308509
MRPL49,MRPL49,5326,3.568,3553,995.853,1.314,0,FALSE,0.118595365223762,0.118595365223762
BIK,BIK,929,3.567,3552,995.853,3.383,0,FALSE,0.529301997787981,0.529301997787981
CCDC137,CCDC137,1333,3.567,3552,995.853,1.596,0,FALSE,0.203032887014711,0.203032887014711
DHCR7,DHCR7,2343,3.567,3552,995.853,2.042,0,FALSE,0.310055737750891,0.310055737750891
ZNF207,ZNF207,10228,3.566,3551,995.853,1.187,0,FALSE,0.0744507189545912,0.0744507189545912
SLC35F2,SLC35F2,8142,3.565,3550,995.853,1.828,0,FALSE,0.261976191397813,0.261976191397813
PAK1,PAK1,6072,3.564,3549,995.853,1.497,0,FALSE,0.175221800343052,0.175221800343052
TMEM87B,TMEM87B,9202,3.564,3549,995.853,1.495,0,FALSE,0.174641192660448,0.174641192660448
NME4,NME4,5748,3.563,3548,995.853,1.584,0,FALSE,0.199755177253475,0.199755177253475
FIP1L1,FIP1L1,3218,3.562,3547,995.853,1.275,0,FALSE,0.105510184769974,0.105510184769974
WDR24,WDR24,9902,3.562,3547,995.853,1.462,0,FALSE,0.164947372621842,0.164947372621842
CSNK2B,CSNK2B,2052,3.56,3545,995.853,1.316,0,FALSE,0.119255889277937,0.119255889277937
UBR7,UBR7,9660,3.56,3545,995.853,1.302,0,FALSE,0.114610984232173,0.114610984232173
RAB11FIP4,RAB11FIP4,7036,3.557,3542,995.853,2.394,0,FALSE,0.379124146070392,0.379124146070392
RANGAP1,RANGAP1,7128,3.557,3542,995.853,1.53,0,FALSE,0.184691430817599,0.184691430817599
UCK2,UCK2,9676,3.557,3542,995.853,1.679,0,FALSE,0.225050696138049,0.225050696138049
STAU2,STAU2,8591,3.556,3541,995.853,1.417,0,FALSE,0.15136985024746,0.15136985024746
CANX,CANX,1243,3.553,3538,995.853,1.296,0,FALSE,0.112605001534575,0.112605001534575
ERLEC1,ERLEC1,2856,3.553,3538,995.853,1.266,0,FALSE,0.102433705681336,0.102433705681336
PDXP,PDXP,6259,3.552,3537,995.853,1.389,0,FALSE,0.142702245737616,0.142702245737616
AFTPH,AFTPH,241,3.549,3534,995.853,1.383,0,FALSE,0.140822180109311,0.140822180109311
PRKDC,PRKDC,6809,3.548,3533,995.853,1.554,0,FALSE,0.191451014464895,0.191451014464895
COMMD4,COMMD4,1902,3.546,3531,995.853,1.388,0,FALSE,0.142389466118836,0.142389466118836
NDUFB9,NDUFB9,5624,3.546,3531,995.853,1.477,0,FALSE,0.16938049531195,0.16938049531195
MEX3A,MEX3A,5128,3.545,3530,995.853,3.171,0,TRUE,0.501196242027089,0.501196242027089
TIGD5,TIGD5,8986,3.545,3530,995.853,1.823,0,FALSE,0.260786668654976,0.260786668654976
NLK,NLK,5740,3.544,3529,995.853,1.456,0,FALSE,0.163161374977018,0.163161374977018
CLNS1A,CLNS1A,1790,3.543,3528,995.853,1.397,0,FALSE,0.145196406114182,0.145196406114182
EIF1AD,EIF1AD,2684,3.543,3528,995.853,1.317,0,FALSE,0.119585774961784,0.119585774961784
ADCK2,ADCK2,197,3.542,3527,995.853,1.357,0,FALSE,0.132579847659737,0.132579847659737
